glycerophosphoethanolamines [GP02]	1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]
1-(1z-alkenyl),2-acylglycerophosphoethanolamines [GP0203]	LION:0000040
glycerophosphoethanolamines [GP02]	dialkylglycerophosphoethanolamines [GP0204]
dialkylglycerophosphoethanolamines [GP0204]	LION:0000041
glycerophosphoethanolamines [GP02]	diacylglycerophospho-N-acylethanolamines
diacylglycerophospho-N-acylethanolamines	LION:0012447
glycerophosphoethanolamines [GP02]	monoacylglycerophosphoethanolamines [GP0205]
monoacylglycerophosphoethanolamines [GP0205]	LION:0000042
glycerophosphoethanolamines [GP02]	monoalkylglycerophosphoethanolamines [GP0206]
monoalkylglycerophosphoethanolamines [GP0206]	LION:0000043
glycerophosphoethanolamines [GP02]	1z-alkenylglycerophosphoethanolamines [GP0207]
1z-alkenylglycerophosphoethanolamines [GP0207]	LION:0000044
glycerophosphoethanolamines [GP02]	1-acyl,2-alkylglycerophosphoethanolamines [GP0208]
1-acyl,2-alkylglycerophosphoethanolamines [GP0208]	LION:0000045
glycerophospholipids [GP]	glycerophosphoinositols [GP06]
glycerophosphoinositols [GP06]	monoacylglycerophosphoinositols [GP0605]
monoacylglycerophosphoinositols [GP0605]	LION:0000046
glycerophosphoinositols [GP06]	diacylglycerophosphoinositols [GP0601]
diacylglycerophosphoinositols [GP0601]	LION:0000047
glycerophosphoinositols [GP06]	1-alkyl,2-acylglycerophosphoinositols [GP0602]
1-alkyl,2-acylglycerophosphoinositols [GP0602]	LION:0000048
glycerophosphoinositols [GP06]	1-(1z-alkenyl),2-acylglycerophosphoinositols [GP0603]
1-(1z-alkenyl),2-acylglycerophosphoinositols [GP0603]	LION:0000049
glycerophosphoinositols [GP06]	dialkylglycerophosphoinositols [GP0604]
dialkylglycerophosphoinositols [GP0604]	LION:0000050
glycerophosphoinositols [GP06]	monoalkylglycerophosphoinositols [GP0606]
monoalkylglycerophosphoinositols [GP0606]	LION:0000051
glycerophosphoinositols [GP06]	1z-alkenylglycerophosphoinositols [GP0607]
1z-alkenylglycerophosphoinositols [GP0607]	LION:0000052
glycerophospholipids [GP]	glycerophosphoserines [GP03]
glycerophosphoserines [GP03]	diacylglycerophosphoserines [GP0301]
diacylglycerophosphoserines [GP0301]	LION:0000053
glycerophosphoserines [GP03]	1-alkyl,2-acylglycerophosphoserines [GP0302]
1-alkyl,2-acylglycerophosphoserines [GP0302]	LION:0000054
glycerophosphoserines [GP03]	1-(1z-alkenyl),2-acylglycerophosphoserines [GP0303]
1-(1z-alkenyl),2-acylglycerophosphoserines [GP0303]	LION:0000055
glycerophosphoserines [GP03]	monoacylglycerophosphoserines [GP0305]
monoacylglycerophosphoserines [GP0305]	LION:0000056
glycerophosphoserines [GP03]	monoalkylglycerophosphoserines [GP0306]
monoalkylglycerophosphoserines [GP0306]	LION:0000057
